code		000016.XSHG	000300.XSHG	000919.XSHG	399701.XSHE	399702.XSHE	399005.XSHE	000905.XSHG	000852.XSHG	399006.XSHE	000922.XSHG	399812.XSHE	000991.XSHG	000827.XSHG	399971.XSHE	399975.XSHE	399986.XSHE	000992.XSHG	000990.XSHG
name		上证50	沪深300	300价值	基本面60	基本面120	中小板	中证500	中证1000	创业板	中证红利	养老产业	全指医药	中证环保	中证传媒	证券公司	中证银行	金融地产	全指消费
sw1_code	sw1_name																		
801010	农林牧渔	0.0	2.006	0.0	3.582	4.314	7.4599	3.318	2.012	4.0719	1.737	0.0	1.814	0.0	0.0	0.0	0.0	0.0	22.626
801020	采掘	1.476	1.102	2.723	0.628	0.725	0.0	1.125	1.401	0.0	1.867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
801030	化工	2.522	2.279	3.512	3.419	4.108	2.8543	7.627	8.127	3.0297	7.236	1.905	0.402	6.243	0.0	0.0	0.0	0.0	1.667
801040	钢铁	0.0	0.523	1.127	5.237	4.111	0.8774	2.57	0.347	0.0	9.852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
801050	有色金属	1.139	2.165	0.591	1.21	2.405	2.5132	3.891	4.185	0.6327	1.529	0.0	0.0	6.05	0.0	0.0	0.0	0.0	0.0
801080	电子	2.412	7.958	1.582	10.165	10.486	27.1802	7.506	10.147	11.1351	3.92	2.335	0.0	9.073	0.0	0.0	0.0	0.0	0.0
801110	家用电器	1.293	4.67	1.57	15.228	12.101	2.1837	0.951	1.381	0.0	4.281	2.282	0.0	0.0	0.0	0.0	0.0	0.0	0.0
801120	食品饮料	16.784	12.486	0.242	8.244	6.652	2.9709	3.205	3.975	1.0129	4.49	8.758	0.0	0.0	0.0	0.0	0.0	0.0	69.013
801130	纺织服装	0.0	0.051	0.157	0.0	0.238	0.1774	0.356	1.011	0.0	4.426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
801140	轻工制造	0.0	0.27	0.0	0.0	1.122	1.1358	2.174	3.035	0.1731	0.933	2.505	0.0	0.0	0.0	0.0	0.0	0.0	0.625
801150	医药生物	7.799	9.042	0.0	1.443	3.906	8.8157	14.483	11.373	30.8003	0.78	38.901	96.073	0.0	0.0	0.0	0.0	0.0	0.103
801160	公用事业	0.0	1.939	5.7	0.796	1.495	0.2498	3.195	4.197	0.573	3.991	0.0	0.0	24.528	0.0	0.0	0.0	0.055	0.0
801170	交通运输	1.308	2.785	2.597	1.119	1.538	5.098	2.909	2.132	0.0	11.169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
801180	房地产	1.781	3.671	11.153	18.535	16.019	0.4488	3.795	3.061	0.0	13.292	0.0	0.0	0.0	0.0	0.0	0.0	15.16	0.0
801200	商业贸易	0.0	0.5	0.342	1.852	2.312	2.0186	2.986	1.279	0.0	0.489	0.937	0.0	0.0	0.0	0.0	0.0	0.0	2.779
801210	休闲服务	3.408	1.507	0.0	0.0	0.0	0.0	0.541	0.334	1.0459	0.0	4.75	0.0	0.0	0.0	0.0	0.0	0.0	0.077
801230	综合	0.0	0.0	0.0	0.0	0.0	0.0	1.275	0.41	1.37	0.0	0.0	0.128	0.792	0.0	0.0	0.0	0.0	0.426
801710	建筑材料	2.076	1.397	2.716	0.0	1.263	2.1161	1.749	2.229	0.0	6.939	0.0	0.0	1.724	0.0	0.0	0.0	0.0	0.0
801720	建筑装饰	2.266	1.871	5.818	0.0	0.433	0.4361	1.281	2.92	0.0	0.519	1.123	0.0	3.12	0.0	0.0	0.0	0.0	0.0
801730	电气设备	3.101	3.487	0.62	1.875	1.472	2.8417	4.668	4.579	14.4513	2.671	1.433	0.0	36.056	0.0	0.0	0.0	0.0	2.602
801740	国防军工	0.62	1.385	0.0	0.0	0.41	2.224	3.335	3.494	0.7047	0.0	0.0	0.0	0.896	0.0	0.0	0.0	0.0	0.0
801750	计算机	0.972	2.93	0.0	0.475	1.14	8.876	6.853	9.88	11.3301	0.0	4.249	1.55	1.811	1.2	0.0	0.0	2.293	0.0
801760	传媒	0.0	1.964	0.0	1.771	1.919	7.796	5.25	4.241	6.8436	0.888	16.974	0.0	0.0	98.801	0.0	0.0	0.144	0.084
801770	通信	0.707	1.302	0.858	1.027	0.806	0.4478	2.029	3.266	3.0751	0.0	2.057	0.0	1.517	0.0	0.0	0.0	0.0	0.0
801780	银行	20.689	12.38	34.855	7.345	6.438	3.2628	1.223	0.117	0.0	8.046	0.0	0.0	0.0	0.0	0.0	100.001	37.044	0.0
801790	非银金融	26.296	15.848	17.194	6.3	5.868	4.0683	4.33	1.312	6.565	0.39	9.719	0.0	0.0	0.0	100.0	0.0	45.302	0.0
801880	汽车	1.05	2.58	5.348	6.777	6.388	3.0665	3.89	2.821	0.0	6.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
801890	机械设备	2.301	1.896	1.296	2.972	2.332	0.8813	3.494	6.744	3.1857	4.447	2.071	0.03	8.188	0.0	0.0	0.0	0.0	0.0
