sw1_code	sw1_name	holding_money	rate
801010	农林牧渔	12380.52	1.91%
801020	采掘	5359.08	0.83%
801030	化工	31573.9	4.88%
801040	钢铁	17058.52	2.63%
801050	有色金属	17029.51	2.63%
801080	电子	35188.17	5.43%
801110	家用电器	11061.94	1.71%
801120	食品饮料	24583.07	3.80%
801130	纺织服装	5021.83	0.78%
801140	轻工制造	7434.02	1.15%
801150	医药生物	86790.01	13.40%
801160	公用事业	27071.0	4.18%
801170	交通运输	20277.48	3.13%
801180	房地产	31466.32	4.86%
801200	商业贸易	9226.99	1.43%
801210	休闲服务	4612.88	0.71%
801230	综合	3715.19	0.57%
801710	建筑材料	13558.33	2.09%
801720	建筑装饰	7855.34	1.21%
801730	电气设备	35767.02	5.52%
801740	国防军工	8362.85	1.29%
801750	计算机	23738.14	3.67%
801760	传媒	58020.2	8.96%
801770	通信	8141.8	1.26%
801780	银行	38703.76	5.98%
801790	非银金融	68026.59	10.51%
801880	汽车	16173.11	2.50%
801890	机械设备	19279.48	2.98%
